t_s,width_x_m,width_3d_m,width_norm
1.634966666666666679e+00,8.272360020994870555e-02,1.275402877378866429e-01,4.189757307032609956e-01
1.651650000000000063e+00,8.255968310212352668e-02,1.273775066775464926e-01,4.169864454141204435e-01
1.668333333333333446e+00,8.248027035874250235e-02,1.273265863996636826e-01,4.160226985284284362e-01
1.685016666666666607e+00,8.210823624783750163e-02,1.269424314051980918e-01,4.115077214543386153e-01
1.701699999999999990e+00,8.229556616217606480e-02,1.271271507570221615e-01,4.137811427448551682e-01
1.718383333333333374e+00,8.217857316200405382e-02,1.270204027156131843e-01,4.123613247816025895e-01
1.735066666666666757e+00,7.533715024577586350e-02,1.207603191949331023e-01,3.293343476429109740e-01
1.751750000000000140e+00,8.232608622465661941e-02,1.271515782498822689e-01,4.141515318526288736e-01
1.768433333333333302e+00,8.241104459448483910e-02,1.272434393013750498e-01,4.151825800301557901e-01
1.785116666666666685e+00,8.269695738903676263e-02,1.275121073007514927e-01,4.186523954980189699e-01
1.801800000000000068e+00,8.258829387659760712e-02,1.274102459839639712e-01,4.173336635509418135e-01
1.818483333333333452e+00,8.261384912860095242e-02,1.274425041792256463e-01,4.176438001043805137e-01
1.835166666666666613e+00,8.199821387616335056e-02,1.268404670547882696e-01,4.101724984971280574e-01
1.851849999999999996e+00,8.294380961026220911e-02,1.277585827437199562e-01,4.216481748818229347e-01
1.868533333333333379e+00,8.295085098023513570e-02,1.277656167736949122e-01,4.217336284009118308e-01
1.885216666666666763e+00,8.247486649546431625e-02,1.273048412927129669e-01,4.159571176634018763e-01
1.901899999999999924e+00,8.256066060690447905e-02,1.273940243220428592e-01,4.169983083362194254e-01
1.918583333333333307e+00,8.183604966688201587e-02,1.266646006117969347e-01,4.082044862485681436e-01
1.935266666666666691e+00,8.194848122070610974e-02,1.267844157707772867e-01,4.095689468532294764e-01
1.951950000000000074e+00,8.248558905509562056e-02,1.273006428099168752e-01,4.160872458142672592e-01
1.968633333333333457e+00,8.269377666853369724e-02,1.275134912511115826e-01,4.186137945210400280e-01
1.985316666666666618e+00,8.224318120659535047e-02,1.270668047676662138e-01,4.131454029926620031e-01
2.002000000000000224e+00,8.184122905877883047e-02,1.266651673142552004e-01,4.082673429463450354e-01
2.018683333333333163e+00,8.202353982057883353e-02,1.268578103526496192e-01,4.104798521914906906e-01
2.035366666666666546e+00,8.236920896651339641e-02,1.271957880558740595e-01,4.146748660984635459e-01
2.052049999999999930e+00,7.416131691326968700e-02,1.195146266167513155e-01,3.150645256464768007e-01
2.068733333333333313e+00,8.234977488293648840e-02,1.271637717645660026e-01,4.144390155696175970e-01
2.085416666666666696e+00,8.210580661320390772e-02,1.269230704829730771e-01,4.114782355971348116e-01
2.102100000000000080e+00,8.265182875344082025e-02,1.274727135706348324e-01,4.181047178815633369e-01
2.118783333333333463e+00,8.219756265658145766e-02,1.270197351548893738e-01,4.125917798128817537e-01
2.135466666666666846e+00,8.221829949785905423e-02,1.270453798201919837e-01,4.128434405079982050e-01
2.152150000000000230e+00,8.228234993951849541e-02,1.271158870359229420e-01,4.136207516931856287e-01
2.168833333333333169e+00,8.287884412015919522e-02,1.277040136626075295e-01,4.208597587397960305e-01
2.185516666666666552e+00,8.293889296526404942e-02,1.277635937724140580e-01,4.215885068600006003e-01
2.202199999999999935e+00,8.269594178648076443e-02,1.275099459892786724e-01,4.186400702242811245e-01
2.218883333333333319e+00,8.256503163022535507e-02,1.273874300129619330e-01,4.170513547357446171e-01
2.235566666666666702e+00,8.194718511373033643e-02,1.267663651624405530e-01,4.095532173996400127e-01
2.252250000000000085e+00,8.213002221735055119e-02,1.269703075637160228e-01,4.117721142882348473e-01
2.268933333333333469e+00,8.291979590747397544e-02,1.277487351516349567e-01,4.213567464499268778e-01
