t,gx,gy,gz,ax,ay,az
4.058380891307183380e-01,3.940362087326943624e-02,-1.458998935037273681e-01,1.075612353567625135e-01,9.611510791366907114e+00,5.995203836930455832e-02,3.947242206235011874e+00
4.107942352893773075e-01,2.555910543130990309e-02,-1.405750798722044670e-01,7.880724174653887248e-02,9.580335731414868050e+00,2.877697841726618855e-02,3.954436450839328376e+00
4.157503814480362769e-01,9.584664536741213658e-03,-1.384451544195953177e-01,4.792332268370606829e-02,9.412470023980814560e+00,1.486810551558752913e-01,3.906474820143885029e+00
4.207065276066952464e-01,-5.324813631522896766e-03,-1.352502662406815659e-01,3.194888178913737886e-02,9.237410071942445455e+00,2.494004796163069582e-01,3.844124700239808234e+00
4.256626737653542158e-01,-1.703940362087327104e-02,-1.288604898828540901e-01,2.236421725239616520e-02,9.244604316546762846e+00,1.414868105515587615e-01,3.805755395683453113e+00
4.306188199240131853e-01,-3.727369542066027996e-02,-1.267305644302449408e-01,5.324813631522896766e-03,9.302158273381294862e+00,-1.438848920863309427e-02,3.896882494004796360e+00
4.355749660826721548e-01,-5.431309904153354406e-02,-1.341853035143769912e-01,-2.875399361022364098e-02,9.328537170263789591e+00,-1.438848920863309427e-02,3.844124700239808234e+00
4.405311122413311242e-01,-7.987220447284344715e-02,-1.469648562300319428e-01,-6.709265175718849561e-02,9.251798561151078459e+00,1.654676258992805737e-01,3.810551558752997447e+00
4.454872583999900937e-01,-9.691160809371672513e-02,-1.490947816826411199e-01,-8.839190628328008614e-02,9.258992805755395850e+00,2.661870503597122406e-01,3.618705035971223172e+00
4.504434045586490631e-01,-1.075612353567625135e-01,-1.352502662406815659e-01,-1.001064962726304630e-01,9.388489208633092886e+00,2.206235011990407557e-01,3.410071942446043280e+00
4.553995507173080326e-01,-1.118210862619808260e-01,-9.797657082002129980e-02,-1.150159744408945639e-01,9.496402877697841305e+00,2.182254196642685884e-01,3.410071942446043280e+00
4.603556968759670021e-01,-1.118210862619808260e-01,-6.283280085197018305e-02,-1.288604898828540901e-01,9.472422062350119631e+00,3.717026378896882699e-01,3.592326139088728887e+00
