frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
76,2.535867,2,false,false,-0.001142726,-0.111114770,0.085038885,-0.013987581,-0.089417495,-0.019664887,-0.995701909
77,2.569233,2,false,false,-0.000398505,-0.112645440,0.089753300,-0.013676855,-0.090773247,-0.020537402,-0.995565891
78,2.602600,2,false,false,0.000175557,-0.114470042,0.094717413,-0.012496617,-0.093146563,-0.020454977,-0.995363891
79,2.635967,2,false,false,-0.000089808,-0.116449237,0.101415411,-0.011831260,-0.095980465,-0.019390400,-0.995124042
80,2.669333,2,false,false,0.000337038,-0.118099518,0.106529608,-0.010406508,-0.097169273,-0.018525718,-0.995041013
81,2.702700,2,false,true,0.001444135,-0.119484715,0.109904245,0.009838503,0.097354800,0.018524831,0.995028734
82,2.736067,2,false,false,0.002123327,-0.120952353,0.114062488,0.009580230,0.099145055,0.018840455,0.994848490
83,2.769433,2,false,false,0.002512366,-0.122196838,0.118700691,0.008712476,0.101298995,0.018351097,0.994648635
84,2.802800,2,false,false,0.003033806,-0.123591103,0.124178410,0.006468819,0.102885589,0.017638635,0.994515836
85,2.836167,2,false,false,0.003470282,-0.124873318,0.129203692,0.004367319,0.104787529,0.017864224,0.994324625
86,2.869533,2,false,false,0.003400472,-0.125855595,0.133600876,0.004180618,0.106895432,0.018489553,0.994089603
87,2.902900,2,false,false,0.003142127,-0.126548380,0.138331354,0.003205889,0.108477734,0.020011282,0.993892252
88,2.936267,2,false,false,0.003396946,-0.127303571,0.142472714,0.002488215,0.109985024,0.022257963,0.993680954
89,2.969633,2,false,false,0.003117332,-0.128198996,0.146573409,0.002120734,0.111324579,0.023760263,0.993497789
90,3.003000,2,false,false,0.003083987,-0.128666997,0.150978953,-0.001552080,-0.112374596,-0.025197854,-0.993345201
91,3.036367,2,false,false,0.002851097,-0.129111990,0.154945835,-0.000663204,-0.112284049,-0.026348071,-0.993326604
92,3.069733,2,false,false,0.002579702,-0.129624441,0.158539489,0.000278058,-0.113101937,-0.026592506,-0.993227422
93,3.103100,2,false,false,0.001984384,-0.130241230,0.162081689,0.001422858,-0.114164323,-0.026335919,-0.993111789
94,3.136467,2,false,false,0.001897464,-0.131132081,0.165673643,0.002477545,-0.113137148,-0.026318897,-0.993227720
95,3.169833,2,false,false,0.002127461,-0.131778225,0.168864682,0.002912649,-0.112577282,-0.026690597,-0.993280172
96,3.203200,2,false,true,0.002254923,-0.132013142,0.172272831,-0.003954259,0.112467304,0.026151888,0.993303359
97,3.236567,2,false,false,0.002434804,-0.132626921,0.175616026,-0.005034267,0.112065762,0.024959197,0.993374527
98,3.269933,2,false,false,0.002730699,-0.133356452,0.178331032,-0.005260926,0.110466301,0.024073260,0.993574381
99,3.303300,2,false,false,0.003084221,-0.133765429,0.181297645,-0.005517152,0.105512738,0.022724949,0.994143009
100,3.336667,2,false,false,0.003640769,-0.134740427,0.184528455,-0.005766208,0.099898152,0.020606058,0.994767547
101,3.370033,2,false,false,0.004489796,-0.136070967,0.187825114,-0.007086736,0.093751371,0.018372800,0.995400906
102,3.403400,2,false,false,0.005534285,-0.137354374,0.191449583,-0.007358886,0.090128191,0.016237136,0.995770693
103,3.436767,2,false,false,0.006833791,-0.138678342,0.195061594,-0.008963851,0.089214928,0.015101322,0.995857596
104,3.470133,2,false,false,0.008111628,-0.139960513,0.198413581,-0.010015423,0.088391937,0.013336476,0.995946109
105,3.503500,2,false,false,0.008920099,-0.141294554,0.202446431,0.011794344,-0.088693380,-0.011772179,-0.995919585
106,3.536867,2,false,false,0.009751334,-0.142770275,0.206090853,0.013079893,-0.088837728,-0.010457166,-0.995905340
107,3.570233,2,false,false,0.010726267,-0.144133344,0.209512815,0.014112817,-0.087474562,-0.009100047,-0.996025264
108,3.603600,2,false,false,0.011543586,-0.145505905,0.213173449,0.013997447,-0.086918533,-0.007371397,-0.996089876
109,3.636967,2,false,false,0.012441285,-0.146499127,0.216520816,0.014469198,-0.088078223,-0.005224328,-0.995994806
110,3.670333,2,false,false,0.013482274,-0.147700995,0.220784366,0.015404658,-0.090581074,-0.003741547,-0.995762944
111,3.703700,2,false,true,0.014587665,-0.148958996,0.224737093,-0.016074738,0.092410572,0.003038201,0.995586634
112,3.737067,2,false,false,0.015732253,-0.150046855,0.228242844,-0.016051916,0.093261488,0.003342197,0.995506704
113,3.770433,2,false,false,0.017187186,-0.150938883,0.231956005,-0.015917096,0.094511852,0.004141414,0.995387912
114,3.803800,2,false,false,0.018880166,-0.151670069,0.235639855,-0.016198508,0.096702151,0.005227649,0.995167792
115,3.837167,2,false,false,0.020734897,-0.152533129,0.239084557,-0.016083034,0.098660961,0.007531362,0.994962692
116,3.870533,2,false,false,0.022763172,-0.153466687,0.242626920,-0.016041202,0.099681661,0.010765083,0.994831860
117,3.903900,2,false,false,0.024549896,-0.154253259,0.245565176,-0.015045406,0.101083159,0.015238936,0.994647563
118,3.937267,2,false,false,0.026338181,-0.154996544,0.248276174,-0.013186965,0.102199920,0.019531252,0.994484723
119,3.970633,2,false,false,0.027958252,-0.155630693,0.250412107,0.011164920,-0.103646383,-0.023296256,-0.994278729
120,4.004000,2,false,false,0.029229116,-0.156352103,0.253572643,0.009564161,-0.105979696,-0.026868567,-0.993959248
121,4.037367,2,false,false,0.030172398,-0.157233879,0.256793797,0.008123071,-0.108494639,-0.029396376,-0.993629158
122,4.070733,2,false,false,0.031072551,-0.158236980,0.259569734,0.007319528,-0.110204414,-0.032269876,-0.993358016
123,4.104100,2,false,false,0.031669144,-0.159089163,0.262454271,0.007038840,-0.110998616,-0.034417711,-0.993199527
124,4.137467,2,false,false,0.032197338,-0.159986958,0.265610665,0.006683131,-0.111741140,-0.034694623,-0.993109047
125,4.170833,2,false,false,0.032417264,-0.160763040,0.268390328,0.006043392,-0.111933053,-0.033306375,-0.993139088
126,4.204200,2,false,true,0.032890763,-0.161571622,0.270520747,-0.005133442,0.111301675,0.031907950,0.993261039
127,4.237567,2,false,false,0.032921821,-0.162152827,0.271985471,-0.004881031,0.111739047,0.030050933,0.993271112
128,4.270933,2,false,false,0.032939523,-0.162644222,0.274626762,-0.005350432,0.112350352,0.028190747,0.993254364
129,4.304300,2,false,false,0.033279508,-0.163195759,0.277250439,-0.005635074,0.112582520,0.026663905,0.993268669
130,4.337667,2,false,false,0.033810824,-0.163873419,0.279895842,-0.005341575,0.112799965,0.025858616,0.993266881
131,4.371033,2,false,false,0.034676507,-0.164875969,0.282233655,-0.004964866,0.112800747,0.026238706,0.993258774
132,4.404400,2,false,false,0.035368606,-0.165831268,0.284741759,-0.004181956,0.114644893,0.027403213,0.993019760
133,4.437767,2,false,false,0.036186140,-0.167040810,0.288204134,0.003790888,-0.113808610,-0.028363215,-0.993090570
134,4.471133,2,false,false,0.037123222,-0.168118879,0.290695310,0.002476627,-0.112695642,-0.029633874,-0.993184507
135,4.504500,2,false,false,0.037635591,-0.169086054,0.293799490,0.001444774,-0.112941876,-0.030834163,-0.993122041
136,4.537867,2,false,false,0.038263746,-0.170016065,0.297137380,0.001656731,-0.113968164,-0.032348078,-0.992956281
137,4.571233,2,false,false,0.038344633,-0.171383858,0.300507963,0.001350918,-0.113821462,-0.033566009,-0.992933154
138,4.604600,2,false,false,0.038403578,-0.172593266,0.303844780,0.001008489,-0.114986271,-0.033670586,-0.992795765
139,4.637967,2,false,false,0.038191121,-0.173824921,0.307123035,0.001329445,-0.116392128,-0.032636568,-0.992666125
140,4.671333,2,false,false,0.038268831,-0.174621373,0.310072750,0.001751000,-0.117081910,-0.031573970,-0.992618740
141,4.704700,2,false,true,0.038356028,-0.175244108,0.312934846,-0.002552063,0.117876329,0.030615255,0.992552996
142,4.738067,2,false,false,0.038348589,-0.175621435,0.315228283,-0.002716894,0.118556030,0.029780801,0.992496967
143,4.771433,2,false,false,0.038385890,-0.175947219,0.317345858,-0.003166657,0.118946239,0.029488677,0.992457688
144,4.804800,2,false,false,0.038445380,-0.175987318,0.319247454,-0.005065636,0.119422853,0.028914323,0.992409468
145,4.838167,2,false,false,0.038307343,-0.175731033,0.320554823,-0.006007611,0.120301813,0.027640583,0.992334366
146,4.871533,2,false,false,0.038075741,-0.175436273,0.321098953,-0.005765514,0.120253660,0.027174573,0.992354512
147,4.904900,2,false,false,0.037583511,-0.175008476,0.320484459,-0.003816478,0.118118837,0.027515776,0.992610812
148,4.938267,2,false,false,0.037259690,-0.174366415,0.319716185,0.001889066,-0.115246557,-0.027980749,-0.992941022
149,4.971633,2,false,false,0.036712740,-0.173663437,0.319057137,0.001225504,-0.113999665,-0.027976941,-0.993086100
150,5.005000,2,false,false,0.035792992,-0.172744706,0.318237156,-0.000752176,-0.112801991,-0.027464820,-0.993237615
151,5.038367,2,false,false,0.035272483,-0.171926022,0.317605376,-0.002231088,-0.110459030,-0.028123645,-0.993480265
